nid,level
17072,admin0
17190,admin0
17191,admin0
17192,admin0
17285,admin0
17331,admin0
26415,admin0
33110,admin0
33112,admin0
33116,admin0
33121,admin0
33122,admin0
33123,admin0
33124,admin0
33127,admin0
33128,admin0
36612,admin0
36615,admin0
36620,admin0
36621,admin0
36622,admin0
37654,admin0
45149,admin0
55379,admin0
64987,admin0
90479,admin0
113493,admin0
113736,admin0
113763,admin0
113767,admin0
113982,admin0
114176,admin0
135705,admin0
175233,admin0
175311,admin0
177108,admin0
182298,admin0
185021,admin0
196933,admin0
204888,admin0
226723,admin0
233914,admin0
244373,admin0
254180,admin0
10533,admin1
17196,admin1
26377,admin1
26427,admin1
31562,admin1
31578,admin1
36619,admin1
49820,admin1
49833,admin1
49835,admin1
49841,admin1
49843,admin1
49844,admin1
49845,admin1
49846,admin1
49850,admin1
49851,admin1
49853,admin1
49867,admin1
49890,admin1
55378,admin1
71373,admin1
105702,admin1
105703,admin1
105705,admin1
105706,admin1
106649,admin1
108538,admin1
108808,admin1
108938,admin1
111153,admin1
111897,admin1
112188,admin1
114177,admin1
119920,admin1
120096,admin1
121336,admin1
121393,admin1
122369,admin1
123730,admin1
123731,admin1
129685,admin1
133960,admin1
137032,admin1
138693,admin1
170225,admin1
176918,admin1
177596,admin1
179285,admin1
179407,admin1
179425,admin1
179567,admin1
180044,admin1
181688,admin1
182189,admin1
182395,admin1
182741,admin1
183333,admin1
183338,admin1
183340,admin1
183356,admin1
183728,admin1
184195,admin1
184200,admin1
184203,admin1
184207,admin1
184253,admin1
186079,admin1
186130,admin1
186178,admin1
186506,admin1
187362,admin1
191053,admin1
196608,admin1
198703,admin1
202263,admin1
206563,admin1
207888,admin1
207908,admin1
208318,admin1
220299,admin1
225248,admin1
230073,admin1
237534,admin1
237544,admin1
242628,admin1
242821,admin1
243164,admin1
243165,admin1
243257,admin1
243604,admin1
243607,admin1
244249,admin1
244796,admin1
244913,admin1
247726,admin1
248400,admin1
249788,admin1
249789,admin1
249790,admin1
249921,admin1
249958,admin1
249988,admin1
249989,admin1
249992,admin1
250168,admin1
250902,admin1
251583,admin1
251647,admin1
251702,admin1
251993,admin1
252063,admin1
252763,admin1
252765,admin1
253140,admin1
253938,admin1
256305,admin1
7697,admin2
10539,admin2
10540,admin2
10553,admin2
10554,admin2
10735,admin2
10736,admin2
10751,admin2
22165,admin2
22174,admin2
26375,admin2
26376,admin2
26378,admin2
26390,admin2
26391,admin2
26395,admin2
26396,admin2
26397,admin2
26418,admin2
27065,admin2
31563,admin2
31570,admin2
31581,admin2
31583,admin2
31587,admin2
31588,admin2
31589,admin2
31590,admin2
31602,admin2
31604,admin2
31608,admin2
31616,admin2
31622,admin2
33135,admin2
33136,admin2
33137,admin2
33139,admin2
36608,admin2
40873,admin2
40875,admin2
40877,admin2
40878,admin2
41893,admin2
41894,admin2
47439,admin2
47721,admin2
49871,admin2
49880,admin2
55388,admin2
55425,admin2
55427,admin2
55428,admin2
59921,admin2
60115,admin2
60612,admin2
64721,admin2
72185,admin2
72187,admin2
72188,admin2
72195,admin2
72196,admin2
72198,admin2
72205,admin2
72207,admin2
72208,admin2
72211,admin2
72212,admin2
105493,admin2
108485,admin2
108536,admin2
108539,admin2
108540,admin2
108943,admin2
109081,admin2
109099,admin2
109103,admin2
109143,admin2
109736,admin2
109758,admin2
109759,admin2
109762,admin2
109767,admin2
109918,admin2
109955,admin2
109960,admin2
110404,admin2
110563,admin2
110566,admin2
110583,admin2
110842,admin2
112065,admin2
112353,admin2
112361,admin2
112394,admin2
112395,admin2
112396,admin2
112965,admin2
113049,admin2
113883,admin2
113907,admin2
113910,admin2
113912,admin2
113919,admin2
117528,admin2
118009,admin2
121484,admin2
124437,admin2
125198,admin2
125204,admin2
125205,admin2
125206,admin2
125352,admin2
125616,admin2
127103,admin2
127117,admin2
131752,admin2
131753,admin2
131755,admin2
131756,admin2
132374,admin2
134641,admin2
134643,admin2
134696,admin2
137413,admin2
138128,admin2
145186,admin2
145489,admin2
145511,admin2
145527,admin2
145534,admin2
145628,admin2
145662,admin2
145680,admin2
145683,admin2
145731,admin2
145946,admin2
145947,admin2
145951,admin2
145954,admin2
145956,admin2
145967,admin2
146023,admin2
146024,admin2
146057,admin2
146903,admin2
146907,admin2
146913,admin2
146915,admin2
146920,admin2
146922,admin2
146924,admin2
146925,admin2
146927,admin2
146930,admin2
146967,admin2
146968,admin2
147362,admin2
147549,admin2
147577,admin2
147579,admin2
147845,admin2
148430,admin2
148699,admin2
148700,admin2
148701,admin2
148702,admin2
148703,admin2
148725,admin2
148739,admin2
148966,admin2
149148,admin2
149381,admin2
149391,admin2
149450,admin2
149451,admin2
149516,admin2
149518,admin2
149975,admin2
150166,admin2
150302,admin2
151196,admin2
151394,admin2
151706,admin2
151707,admin2
151708,admin2
151710,admin2
151720,admin2
151721,admin2
151776,admin2
152648,admin2
153283,admin2
153284,admin2
153285,admin2
153286,admin2
153287,admin2
153292,admin2
153293,admin2
153294,admin2
153295,admin2
153296,admin2
153297,admin2
153299,admin2
153300,admin2
153528,admin2
153834,admin2
153918,admin2
154035,admin2
154142,admin2
154143,admin2
154440,admin2
154690,admin2
154699,admin2
155975,admin2
155976,admin2
155977,admin2
156115,admin2
156116,admin2
156599,admin2
157321,admin2
157741,admin2
157745,admin2
157746,admin2
157747,admin2
157748,admin2
157749,admin2
157751,admin2
157998,admin2
158146,admin2
158147,admin2
158199,admin2
158201,admin2
158204,admin2
158205,admin2
158564,admin2
158742,admin2
158914,admin2
158915,admin2
158917,admin2
158918,admin2
159180,admin2
159471,admin2
159707,admin2
159710,admin2
159713,admin2
159715,admin2
159716,admin2
160069,admin2
160216,admin2
161551,admin2
161552,admin2
162312,admin2
162449,admin2
162450,admin2
162478,admin2
162714,admin2
163037,admin2
163362,admin2
163365,admin2
163979,admin2
163980,admin2
164313,admin2
164314,admin2
164355,admin2
164754,admin2
164850,admin2
164854,admin2
164856,admin2
164859,admin2
165159,admin2
165517,admin2
165552,admin2
165789,admin2
165936,admin2
165937,admin2
166489,admin2
166639,admin2
166881,admin2
167035,admin2
167205,admin2
167292,admin2
167327,admin2
167360,admin2
167363,admin2
167401,admin2
167431,admin2
167477,admin2
167538,admin2
167540,admin2
167544,admin2
168279,admin2
168280,admin2
168282,admin2
168283,admin2
168284,admin2
168285,admin2
168286,admin2
168617,admin2
168620,admin2
168772,admin2
169401,admin2
169821,admin2
169824,admin2
169977,admin2
169979,admin2
171167,admin2
171284,admin2
171287,admin2
171288,admin2
171289,admin2
171290,admin2
172476,admin2
172904,admin2
173070,admin2
173598,admin2
174119,admin2
174120,admin2
174121,admin2
174123,admin2
174124,admin2
174333,admin2
174336,admin2
174809,admin2
175394,admin2
175886,admin2
175948,admin2
175958,admin2
176311,admin2
176352,admin2
178974,admin2
181205,admin2
182540,admin2
185207,admin2
185226,admin2
185446,admin2
186067,admin2
186539,admin2
187364,admin2
192403,admin2
193973,admin2
193983,admin2
193998,admin2
194058,admin2
194073,admin2
194088,admin2
194098,admin2
194103,admin2
194108,admin2
194113,admin2
202138,admin2
202158,admin2
205168,admin2
207793,admin2
217303,admin2
217678,admin2
217679,admin2
217949,admin2
217954,admin2
218214,admin2
230063,admin2
237179,admin2
243380,admin2
244635,admin2
245360,admin2
246281,admin2
246282,admin2
247638,admin2
247901,admin2
248670,admin2
248809,admin2
249737,admin2
249945,admin2
249953,admin2
249956,admin2
249962,admin2
250511,admin2
250996,admin2
250998,admin2
251419,admin2
251657,admin2
251825,admin2
252519,admin2
255746,admin2
255748,admin2
255885,admin2
255886,admin2
255887,admin2
255894,admin2
255895,admin2
255896,admin2
255931,admin2
255932,admin2
255933,admin2
255934,admin2
255935,admin2
255936,admin2
20894,admin3
22180,admin3
27062,admin3
27064,admin3
31573,admin3
31574,admin3
31586,admin3
31600,admin3
31610,admin3
31619,admin3
31620,admin3
31625,admin3
31626,admin3
31630,admin3
38215,admin3
38216,admin3
42027,admin3
43157,admin3
45130,admin3
67365,admin3
69191,admin3
106098,admin3
107112,admin3
119834,admin3
123113,admin3
127265,admin3
127653,admin3
132389,admin3
149388,admin3
166718,admin3
167225,admin3
167420,admin3
167421,admin3
167422,admin3
167429,admin3
168306,admin3
168308,admin3
169812,admin3
171662,admin3
172093,admin3
174920,admin3
175730,admin3
178753,admin3
179116,admin3
185130,admin3
185134,admin3
185135,admin3
187338,admin3
238369,admin3
241944,admin3
243390,admin3
243431,admin3
243448,admin3
244923,admin3
245473,admin3
10778,admin4
20956,admin4
22164,admin4
22172,admin4
22179,admin4
31572,admin4
31575,admin4
31579,admin4
31580,admin4
31594,admin4
31595,admin4
31596,admin4
31623,admin4
33138,admin4
40883,admin4
40886,admin4
40897,admin4
45093,admin4
45098,admin4
49862,admin4
64637,admin4
64651,admin4
64652,admin4
64657,admin4
64659,admin4
64668,admin4
64678,admin4
64696,admin4
64698,admin4
64700,admin4
64702,admin4
67863,admin4
68374,admin4
68379,admin4
86400,admin4
105560,admin4
105564,admin4
105566,admin4
105917,admin4
111963,admin4
112028,admin4
116152,admin4
117196,admin4
117453,admin4
117512,admin4
118310,admin4
118779,admin4
118882,admin4
118976,admin4
120353,admin4
121904,admin4
122413,admin4
124060,admin4
124106,admin4
124192,admin4
125532,admin4
126053,admin4
126432,admin4
128151,admin4
131099,admin4
131765,admin4
131766,admin4
131769,admin4
131773,admin4
132217,admin4
135725,admin4
140646,admin4
143625,admin4
143741,admin4
144054,admin4
144577,admin4
146037,admin4
146631,admin4
147554,admin4
148573,admin4
148722,admin4
149385,admin4
149700,admin4
149701,admin4
150050,admin4
150251,admin4
150252,admin4
150346,admin4
151824,admin4
152576,admin4
155790,admin4
155796,admin4
